 ,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jacob,126,124,111,117,115,119,126,132,132,140,144,148,153,162,164,166,181,176,202,212,216,236,225,221,221,254,239,226,248,280,239,289,260,302,301,317,324,318,312,326,346,327,305,292,319,320,337,350,359,344,370,370,408,380,358,367,385,377,343,306,254,223,160,123,87,75,63,57,50,45,44,43,41,36,37,35,31,31,28,26,20,17,15,9,7,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,7,9,13,13,15,24
Ethan,2,2,2,2,2,2,2,2,2,2,54667,66306,66306,66306,66306,66306,66306,66306,66306,66306,20391,20391,20391,20391,20391,20391,20391,20391,33984,33984,16170,33182,16226,4993,33331,33331,6704,7655,4797,4797,31364,33224,11336,6716,1913,4010,2186,3298,1854,1451,1288,1112,931,948,740,741,812,717,755,659,557,473,369,355,363,339,330,301,301,302,302,287,288,293,297,316,344,349,264,87,58,65,76,92,88,76,62,46,38,37,25,17,5,7,5,5,4,3,3,2,2,7,3,6,6,6,10,14,12,11,13,20
Michael,45,40,42,42,41,43,44,44,45,46,50,48,48,50,54,55,56,52,53,55,55,55,54,53,47,41,33,27,21,18,18,16,13,10,9,9,7,7,6,5,4,4,4,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,6,7,7,7,9,8,12,14,14,12,17
Jayden,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,56566,15278,32990,3856,1366,877,720,607,414,261,195,140,102,75,62,54,49,18,11,8,4,4,8,9,15,20,27,26,30,35,39,41
William,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,9,9,10,10,11,12,13,13,14,15,15,16,16,16,15,15,16,15,16,19,20,18,19,21,18,19,14,14,11,10,11,11,8,11,10,8,8,5,5,3,5,5,5,5,3,3,3,4,5,6
Alexander,101,97,98,100,100,102,99,98,104,112,118,117,128,133,130,139,147,148,155,156,171,180,180,193,206,190,210,200,200,194,191,191,194,186,185,183,191,196,184,182,192,190,188,197,206,213,217,219,229,241,242,227,223,220,216,193,186,181,159,151,138,134,130,116,113,104,107,98,98,95,92,70,65,63,54,50,41,37,34,32,28,26,23,21,22,22,22,22,22,21,20,20,15,16,15,13,12,11,6,4,6,8,9,8,8,8,11,13,11,10,10,13
Noah,358,449,437,404,392,459,390,438,418,380,410,419,461,393,418,467,407,419,539,438,462,473,503,446,565,466,574,594,551,565,547,588,552,605,546,653,755,646,627,662,641,621,744,648,856,833,835,776,792,792,870,883,841,934,807,850,750,755,739,564,500,403,422,364,344,324,350,292,281,250,246,182,153,174,196,221,229,240,234,222,234,227,221,205,162,102,50,38,29,24,27,28,31,31,29,23,15,14,15,9,7,5,4,1,1,1,1,2,2,2,2,2
Daniel,54,53,53,54,55,55,55,54,52,51,53,50,47,47,47,44,46,46,47,47,47,44,42,42,42,43,41,39,39,38,34,31,28,25,25,24,21,22,22,22,21,21,20,20,18,17,18,16,16,18,17,17,17,19,19,17,19,19,18,18,19,20,15,11,11,11,10,11,11,12,11,10,10,8,6,5,6,7,8,6,5,6,7,7,8,10,11,11,12,9,9,9,10,8,7,7,6,5,5,7,8,10,11,10,10,12,13,15,15,15,14,16
Aiden,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,165421,86430,38487,21687,2886,1690,1136,755,616,518,329,221,136,73,60,50,30,27,16,12,9,9,10,12,14,13,16,17,19,20,24,26
Anthony,37,36,38,38,37,36,38,38,39,41,43,41,39,39,40,39,42,43,44,44,45,47,45,46,53,53,48,47,46,48,46,46,44,44,46,46,44,41,41,36,36,34,34,32,32,31,30,27,27,26,25,25,24,22,21,22,22,21,21,20,22,23,22,21,21,21,22,21,20,21,24,23,22,22,22,20,19,17,18,16,15,18,19,19,18,20,19,18,19,18,17,11,12,10,11,8,9,7,7,11,10,11,15,19,21,25,30,33,39,38,42,43
